Time,ActiveClones,CumulativeDrivers,CumulativePassengers
11.834,15,26,102
11.9002,15,26,102
11.9245,15,26,102
11.963,16,26,103
11.9789,17,26,104
11.9832,17,26,104
11.992,17,26,104
12.015,18,26,105
12.0316,18,26,105
12.0745,19,26,106
12.1347,19,26,106
12.1458,19,26,106
12.1472,19,26,106
12.1925,18,26,106
12.1943,18,26,106
12.197,17,26,106
12.2396,18,26,107
12.2472,19,26,108
12.2479,18,26,108
12.2589,17,26,108
12.284,17,26,108
12.3013,18,26,109
12.3219,19,26,110
12.3234,19,26,110
12.3536,19,26,110
12.3624,19,26,110
12.3662,20,26,111
12.3686,20,26,111
12.3693,20,26,111
12.3699,20,26,111
12.3925,19,26,111
12.4,19,26,112
12.4173,18,26,112
12.4189,17,26,112
12.4234,16,26,112
12.4259,16,26,112
12.4317,16,26,112
12.4932,16,26,112
12.5128,16,26,112
12.5367,16,26,112
12.5403,17,26,113
12.56,17,26,113
12.5852,17,26,113
12.5975,18,26,114
12.6382,18,26,114
12.6479,17,26,114
12.6501,17,26,114
12.6502,17,26,114
12.6782,17,26,114
12.6819,18,26,115
12.6984,18,26,115
12.7131,18,26,115
12.7196,19,26,116
12.7318,19,26,116
12.7362,19,26,116
12.7485,19,26,116
12.781,19,26,116
12.8281,19,26,116
12.8417,19,26,116
12.8662,19,26,116
12.877,18,26,116
12.8825,19,26,117
12.8883,19,26,117
12.8958,20,26,118
12.9353,20,26,118
12.9383,20,26,118
13.009,20,26,119
13.0106,19,26,119
13.0125,19,26,119
13.0134,19,26,119
13.0279,19,26,119
13.0545,20,26,120
13.0864,19,26,120
13.0924,20,26,121
13.1113,20,26,121
13.1314,20,26,121
13.1742,20,26,121
13.1874,20,26,121
13.2048,20,26,121
13.2211,20,26,121
13.2329,19,26,121
13.2489,19,26,121
13.2827,20,26,122
13.2964,20,27,122
13.3145,20,27,122
13.3239,20,27,122
13.4123,20,27,122
13.4281,20,27,122
13.4549,20,27,122
13.4644,20,27,122
13.467,20,27,122
13.4988,20,27,122
13.5211,20,27,122
13.5465,19,27,122
13.5539,19,27,122
13.5656,18,27,122
13.6106,18,27,122
13.6439,18,27,122
13.653,19,27,123
13.6808,19,27,123
13.7126,19,27,123
13.7133,19,27,123
13.7217,19,27,123
13.7284,19,27,123
13.7299,19,27,123
13.7919,18,27,123
13.8056,18,27,123
13.8123,18,28,123
13.8233,18,28,123
13.8437,18,28,123
13.8528,18,28,123
13.8904,18,28,123
13.8951,17,28,123
13.8961,16,28,123
13.9071,17,28,124
13.9392,17,28,124
13.9494,18,28,125
13.9709,18,28,125
13.9825,17,28,125
14.0169,17,28,125
14.0267,17,28,125
14.0271,16,28,125
14.0376,15,28,125
14.0571,16,28,126
14.0879,16,28,126
14.138,17,28,127
14.1432,17,28,127
14.1841,17,28,127
14.1881,16,28,127
14.189,16,28,127
14.1955,17,29,127
14.2015,16,29,127
14.2072,16,29,127
14.2143,16,29,127
14.2326,16,29,127
14.2336,16,29,127
14.243,16,29,127
14.2496,16,29,127
14.2571,16,29,127
14.3021,16,29,127
14.3437,16,29,127
14.3743,16,29,127
14.3972,16,29,127
14.4229,16,29,127
14.4314,16,29,128
14.4566,16,29,128
14.481,16,29,128
14.488,17,30,128
14.5341,17,30,128
14.5665,16,30,128
14.5715,16,30,128
14.5919,15,30,128
14.6022,15,30,128
14.6084,15,30,128
14.6093,15,30,128
14.627,15,30,129
14.6492,15,30,129
14.658,15,30,129
14.6865,15,30,129
14.7038,16,31,129
14.7137,17,31,130
14.7487,17,31,130
14.7898,16,31,130
14.7971,15,31,130
14.8091,15,31,130
14.8244,15,31,130
14.8356,15,31,130
14.8448,14,31,130
14.8457,15,31,131
14.8521,15,31,131
14.853,15,31,131
14.8777,15,31,131
14.8937,15,31,131
14.9195,15,31,131
14.926,15,31,131
14.9282,15,31,131
14.9339,14,31,131
14.959,14,31,131
14.9838,15,32,131
14.9838,15,32,131
14.9886,15,32,131
14.992,15,32,131
14.9997,15,32,131
15.0193,15,32,131
15.0227,15,32,131
15.0384,15,32,131
15.0414,15,32,131
15.0596,14,32,131
15.0909,14,32,131
15.0911,14,32,131
15.1711,14,32,131
15.2428,14,32,131
15.2512,14,32,131
15.2518,14,32,131
15.2671,15,32,132
15.3115,14,32,132
15.3153,14,32,132
15.3251,15,33,132
15.342,15,33,132
15.3721,15,33,132
15.3763,16,33,133
15.403,15,33,133
15.4042,16,33,134
15.4044,16,33,134
15.4223,16,33,134
15.4254,16,33,134
15.4353,16,33,134
15.4453,16,33,134
15.4476,16,33,134
15.4634,16,33,134
15.4844,16,33,134
15.4906,16,33,134
15.5022,16,33,135
15.5332,16,33,135
15.5453,16,33,135
15.5509,16,33,135
15.5517,16,33,135
15.5573,16,33,135
15.5676,16,33,135
15.5872,17,33,136
15.5938,16,33,136
15.6039,16,33,136
15.613,16,33,136
15.6137,16,33,136
15.6435,15,33,136
15.6581,16,33,137
15.6648,16,33,137
15.6658,16,33,137
15.6765,16,33,137
15.6836,15,33,137
15.6864,15,33,137
15.6977,14,33,137
15.7355,15,33,138
15.7663,15,33,138
15.7878,14,33,138
15.7889,14,33,138
15.8327,15,33,139
15.8493,15,33,139
15.8621,15,33,139
15.8827,15,33,140
15.9504,15,33,140
15.9527,15,33,140
15.9671,14,33,140
15.9676,14,33,140
15.9816,14,33,140
15.993,13,33,140
16.0157,13,33,140
16.0165,13,33,140
16.0234,12,33,140
16.0286,12,33,140
16.0385,12,33,141
16.0392,12,33,141
16.078,12,33,141
16.0879,13,33,142
16.1051,13,33,142
16.1429,13,33,142
16.1593,14,33,143
16.1623,14,33,143
16.1686,14,33,143
16.1867,14,33,143
16.2142,14,33,143
16.2471,14,33,143
16.2844,14,33,143
16.288,14,33,143
16.302,14,33,143
16.3072,14,33,143
16.3096,13,33,143
16.3362,13,33,143
16.3415,13,33,143
16.3563,13,33,143
16.3708,13,33,143
16.3915,14,34,143
16.3931,14,34,143
16.4111,14,34,143
16.4248,14,34,143
16.4661,14,34,143
16.5084,14,34,143
16.5123,14,34,143
16.5246,14,34,143
16.558,15,34,144
16.5599,15,34,144
16.5759,15,34,144
16.5767,14,34,144
16.592,14,34,144
16.607,14,34,144
16.6119,14,34,144
16.6293,14,34,144
16.6381,14,34,144
16.642,14,34,144
16.653,14,34,144
16.6557,14,34,144
